Latitude,Longitude,rhos_412,rhos_443,rhos_469,rhos_488,rhos_531,rhos_547,rhos_555,rhos_645,rhos_667,rhos_678,rhos_748,rhos_859,rhos_869,rhos_1240
41.710545,-82.990448,0.103310913,0.09576083,0.093755394,0.092707857,0.09294007,0.095497586,0.09476997,0.071744964,0.069047049,0.070671521,0.064426579,0.058594294,0.059709474,0.02792272
41.677711,-82.916069,0.099565729,0.091055728,0.086414151,0.08482857,0.081234954,0.080807313,0.079483286,0.062797733,0.060416177,0.062668994,0.056308236,0.051672902,0.052227739,0.037946109
41.735477,-82.980209,0.080055922,0.073326968,0.077001244,0.077564165,0.093919702,0.102349058,0.101481825,0.058535289,0.052386329,0.048436679,0.035044964,0.027478604,0.026963634,0.013329787
41.728374,-82.958481,0.083879106,0.07671015,0.078498647,0.078370333,0.090063855,0.095084883,0.093469962,0.053681035,0.049158763,0.046441544,0.033741884,0.026662741,0.026375065,0.013838089
41.714188,-82.915215,0.086712703,0.080318704,0.0785807,0.078088515,0.083938122,0.085242033,0.083644442,0.051594019,0.048363544,0.046979196,0.037223428,0.031217052,0.031072974,0.025627397
41.695343,-82.8843,0.092410281,0.083988063,0.080399029,0.079210714,0.081513211,0.081526063,0.079594448,0.052106749,0.049322933,0.048863843,0.039966065,0.033375461,0.033428736,0.023980252
41.760357,-82.969986,0.073479518,0.06626045,0.071855508,0.072712444,0.093835779,0.105595484,0.104901128,0.056209836,0.049264077,0.044200227,0.030520648,0.022366108,0.021926368,0.009856707
41.735474,-82.922836,0.084352322,0.077785954,0.077276021,0.076008163,0.082554534,0.084973648,0.082835734,0.050371584,0.047377732,0.0451831,0.035736214,0.029857542,0.029594067,0.018445849
41.78867,-82.941948,0.067731097,0.06150759,0.066639178,0.067532934,0.086034775,0.09607859,0.095535107,0.049944881,0.043466855,0.039017398,0.026175166,0.019310176,0.01883425,0.008805362
41.774384,-82.898766,0.071571864,0.066257589,0.069283776,0.069670118,0.082729541,0.089123227,0.088420115,0.04685656,0.041575581,0.038664844,0.025621938,0.019761071,0.019518964,0.01025186
41.749542,-82.852013,0.094863899,0.091333009,0.089668907,0.090331294,0.092483409,0.093563624,0.093704067,0.070281163,0.066527382,0.066908948,0.059673108,0.056526441,0.056930106,0.037894513
41.731853,-82.826843,0.071473554,0.067187108,0.06573128,0.064962603,0.068528838,0.06867373,0.067980587,0.043347221,0.041319158,0.040639114,0.034753099,0.030192461,0.030251363,0.021300243
41.695866,-83.12088,0.092032932,0.079896517,0.083731614,0.0832524,0.103053294,0.11321643,0.111271694,0.064824507,0.057197075,0.051061694,,0.036908038,0.036713164,0.017688602
41.681423,-83.135239,0.094763972,0.083432645,0.086880535,0.086396359,0.105235152,0.114412412,0.11250969,0.068021126,0.060435083,,,0.037626471,0.037239857,0.018231779
41.666943,-83.14962,0.09377934,0.082092687,0.085544042,0.0851788,0.104234882,0.114238217,0.112526953,0.07062526,,,,0.046451788,0.046191011,0.019086855
41.598015,-82.957436,0.119904831,0.108018406,0.104343027,0.102330118,0.109750755,0.1119624,0.10881529,0.06942264,0.065002456,,,0.039853022,0.039709844,0.025399011
41.706409,-83.183594,0.079704605,0.070000157,0.075117573,0.075472593,0.096542582,0.107572213,0.106347561,0.060980622,0.053162418,0.046937965,,0.035346337,0.035037693,0.016007198
41.72781,-83.25074,0.074433044,0.065358289,0.071091719,0.071600728,0.094353162,0.107101105,0.105984136,0.060787711,0.052898914,0.046207964,0.044979349,0.032649193,0.032098163,0.012024521
41.752895,-83.306625,0.076493293,0.066057302,0.071084984,0.071348637,0.093809351,0.106205642,0.105153166,0.062424012,0.054145731,0.046957776,0.057046894,0.042095516,0.041181091,0.011637051
41.777958,-83.355865,0.079870932,0.069537736,0.074950501,0.075157247,0.100550003,0.116063222,0.114330724,0.071484804,0.061703343,0.052437872,0.069786318,0.048247065,0.047037471,0.014056547
41.720863,-83.169159,0.07932248,0.068571024,0.07451494,0.074718378,0.097380593,0.109852433,0.10849075,0.063884363,0.055455033,0.048049442,0.053356517,0.040213231,0.03983729,0.015151396
41.746258,-83.224709,0.07580781,0.064442426,0.071201719,0.071432836,0.09841489,0.113530867,0.112211168,0.065653883,0.056644995,0.047714338,0.060147252,0.043380603,0.042258952,0.012110442
41.767498,-83.292007,0.075303957,0.06624011,0.070847631,0.071389422,0.092625037,0.104164831,0.102649741,0.059816945,0.05191787,0.045621235,0.040423643,0.028530953,0.028064614,0.010624341
41.792572,-83.341171,0.082065709,0.071095474,0.076654814,0.076772287,0.101843745,,0.114880644,0.071905673,,0.052767314,0.05862692,0.040391043,0.039278716,0.013315985
41.811092,-83.248344,0.077709518,0.066919111,0.072796129,0.072900683,0.098606326,,0.113157101,0.062671594,,0.045940418,0.045109667,0.031860985,0.030994527,0.009730947
41.839844,-83.224167,0.0728231,0.065955885,0.064394511,0.062840417,0.066546895,,0.065630704,0.036612887,,0.032709584,0.026825542,0.021438401,0.021199111,0.012121138
41.868786,-83.195389,0.072013848,0.067024194,0.066137388,0.065708593,0.070040904,,0.068132602,0.035241488,,0.031842183,0.025202461,0.020434443,0.020198338,0.012085165
41.908325,-83.170647,0.072660007,0.069601573,0.069562152,0.069032356,0.073465891,0.073405638,0.071682118,0.037226912,,0.033552784,0.026289722,0.021486208,0.021328291,0.012715247
41.93697,-83.142113,0.074958824,0.073570378,0.075028628,0.075928718,0.080725446,0.081375085,0.080112353,0.039291847,,0.034992453,0.026408225,0.021619741,0.02141544,0.012796685
41.821896,-83.252304,0.076786235,0.066691719,0.072240561,0.07275448,0.097158484,0.11155808,0.111196518,0.060718864,,0.045122311,0.040288817,0.02854597,0.027743969,0.00937991
41.850628,-83.228088,0.073983476,0.066619709,0.065372929,0.063766472,0.067698725,0.068324007,0.066926688,0.038115844,0.034851637,0.034047686,0.027836191,0.022417493,0.022165906,0.012824741
41.890305,-83.203224,0.073476076,0.069007099,0.06815806,0.067432106,0.071297124,0.071087405,0.069779091,0.036964767,0.0342355,0.03359402,0.027013542,0.022203457,0.022105033,0.013492795
41.929794,-83.178474,0.073251635,0.069478445,0.068356901,0.067733318,0.070897721,0.070591815,0.069029808,0.036968093,0.034424022,0.033743072,0.027405167,0.022747738,0.022502463,0.013770423
